EmployeeID,FirstName,LastName,Department,JobTitle,HireDate,Salary,BonusPercent,City,State,Country,Email,PhoneNumber,PerformanceScore,ManagerID,LeavesTaken,OvertimeHours,ProjectsHandled,Gender,Age
1,Brenda,Ward,IT,Coordinator,2021-04-08,108941.24,8.13,North Brendashire,Texas,India,carrthomas@yahoo.com,362-839-2992x2463,Average,20,18,14,4,Male,60
2,Sara,Atkins,Marketing,Analyst,2024-03-20,76732.86,16.07,Lake Paul,Mississippi,India,egreene@yahoo.com,+1-602-654-5077x910,Excellent,50,6,32,5,Male,38
3,Aaron,Molina,HR,Executive,2020-04-19,55553.33,9.56,Waltonchester,Iowa,India,eatonalexandra@morris.com,730.931.9764x83685,Excellent,44,14,19,13,Female,43
4,Joseph,Meyer,Operations,Analyst,2017-08-21,43944.83,7.79,Lopezland,West Virginia,India,simmonsrobert@diaz.net,0716195144,Good,13,9,47,5,Male,27
5,Michelle,Ayers,Marketing,Developer,2016-05-04,60834.5,11.71,New Richard,Tennessee,India,melodyharper@gmail.com,(894)979-0455x18415,Average,37,29,41,3,Female,23
6,Kyle,Trevino,HR,Coordinator,2021-04-28,82305.22,8.02,Jessicaville,Maine,India,perrygutierrez@yahoo.com,(822)047-9841,Good,43,26,23,9,Male,55
7,Peter,Williams,IT,Developer,2021-05-26,90763.09,10.8,North Sandra,Kansas,India,mabbott@david.com,+1-150-419-3639x8792,Excellent,20,4,17,15,Male,59
8,Morgan,Johnson,Finance,Developer,2018-04-02,89883.8,12.06,Johnsontown,Idaho,India,jessicamiller@hotmail.com,(528)874-4519x7600,Good,12,24,9,2,Female,25
9,Samantha,Costa,Finance,Executive,2015-11-08,39481.3,14.64,West Paul,Virginia,India,masonmelissa@gmail.com,848-494-8583x65334,Average,33,23,18,11,Female,51
10,Spencer,Henry,Finance,Analyst,2024-01-01,35391.27,12.48,East Patrick,Rhode Island,India,robinsonnatasha@hotmail.com,468-033-0774x7187,Poor,43,30,8,6,Male,25
11,Jack,Anderson,Operations,Developer,2025-05-09,43347.99,6.73,Lake Kellyberg,New York,India,fvelasquez@wyatt.info,700.299.3559,Average,21,17,20,4,Male,43
12,Patrick,Aguilar,Finance,Analyst,2021-09-11,108707.78,13.92,North Jamieberg,West Virginia,India,rodriguezmolly@gmail.com,316.979.5118,Poor,34,20,44,3,Male,48
13,Richard,Collins,Finance,Manager,2022-01-25,71390.71,18.71,Westton,New York,India,nrobinson@hotmail.com,+1-051-243-1701x9222,Poor,37,26,36,9,Male,45
14,Jenna,Brooks,Operations,Executive,2020-11-21,87809.95,6.85,South Kimmouth,Washington,India,mmendoza@gonzalez-romero.org,(569)150-9776x8560,Poor,25,17,39,14,Female,35
15,Brittany,Watkins,Finance,Manager,2024-07-24,96996.41,6.79,Matamouth,Virginia,India,rachelpatterson@yahoo.com,+1-944-843-2227x23789,Good,47,16,11,13,Male,59
16,Brad,Valenzuela,HR,Coordinator,2020-08-24,53320.33,15.24,Scottstad,Hawaii,India,harrislisa@gmail.com,9004388650,Average,38,8,43,9,Male,47
